trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
0,256,Maze,0,0,0,Manhattan,1,BFS,None,6.2452,32257,32,5155,1,1
0,256,Maze,0,0,0,Manhattan,1,Dijkstra,None,8.2855,32257,30,5155,1,1
0,256,Maze,0,0,0,Manhattan,1,Greedy,Manhattan,3.1252,7572,56,5155,1,1
0,256,Maze,0,0,0,Manhattan,1,A*,WallAware,11.5547,32244,36,5155,1,1
0,256,Maze,0,0,0,Manhattan,1,BiA*,WallAware,5.6382,15924,22,5155,1,1
1,256,Maze,0,1001,0,Manhattan,1,BFS,None,7.6080,32257,19,6242,1,1
1,256,Maze,0,1001,0,Manhattan,1,Dijkstra,None,9.1619,32257,19,6242,1,1
1,256,Maze,0,1001,0,Manhattan,1,Greedy,Manhattan,8.6331,31259,51,6242,1,1
1,256,Maze,0,1001,0,Manhattan,1,A*,WallAware,9.5640,32257,19,6242,1,1
1,256,Maze,0,1001,0,Manhattan,1,BiA*,WallAware,6.3155,18454,20,6242,1,1
2,256,Maze,0,2002,0,Manhattan,1,BFS,None,4.6024,32257,15,7957,1,1
2,256,Maze,0,2002,0,Manhattan,1,Dijkstra,None,7.1869,32257,14,7957,1,1
2,256,Maze,0,2002,0,Manhattan,1,Greedy,Manhattan,4.2092,19863,46,7957,1,1
2,256,Maze,0,2002,0,Manhattan,1,A*,WallAware,7.6570,32213,15,7957,1,1
2,256,Maze,0,2002,0,Manhattan,1,BiA*,WallAware,10.7830,26302,24,7957,1,1
3,256,Maze,0,3003,0,Manhattan,1,BFS,None,4.9701,32257,19,10051,1,1
3,256,Maze,0,3003,0,Manhattan,1,Dijkstra,None,6.9088,32257,17,10051,1,1
3,256,Maze,0,3003,0,Manhattan,1,Greedy,Manhattan,6.4549,30605,25,10051,1,1
3,256,Maze,0,3003,0,Manhattan,1,A*,WallAware,7.3768,32257,23,10051,1,1
3,256,Maze,0,3003,0,Manhattan,1,BiA*,WallAware,8.5856,25852,24,10051,1,1
4,256,Maze,0,4004,0,Manhattan,1,BFS,None,4.8780,32257,15,8911,1,1
4,256,Maze,0,4004,0,Manhattan,1,Dijkstra,None,7.0604,32257,13,8911,1,1
4,256,Maze,0,4004,0,Manhattan,1,Greedy,Manhattan,6.6227,23310,66,8911,1,1
4,256,Maze,0,4004,0,Manhattan,1,A*,WallAware,8.1757,32221,21,8911,1,1
4,256,Maze,0,4004,0,Manhattan,1,BiA*,WallAware,9.8593,30643,28,8911,1,1
5,256,Maze,0,5005,0,Manhattan,1,BFS,None,4.9881,32257,18,9408,1,1
5,256,Maze,0,5005,0,Manhattan,1,Dijkstra,None,6.6303,32257,16,9408,1,1
5,256,Maze,0,5005,0,Manhattan,1,Greedy,Manhattan,7.9838,32253,33,9408,1,1
5,256,Maze,0,5005,0,Manhattan,1,A*,WallAware,7.5476,32257,17,9408,1,1
5,256,Maze,0,5005,0,Manhattan,1,BiA*,WallAware,7.8546,23835,30,9408,1,1
6,256,Maze,0,6006,0,Manhattan,1,BFS,None,4.9798,32257,15,9339,1,1
6,256,Maze,0,6006,0,Manhattan,1,Dijkstra,None,6.6720,32257,13,9339,1,1
6,256,Maze,0,6006,0,Manhattan,1,Greedy,Manhattan,5.7783,29613,33,9339,1,1
6,256,Maze,0,6006,0,Manhattan,1,A*,WallAware,7.4536,32257,19,9339,1,1
6,256,Maze,0,6006,0,Manhattan,1,BiA*,WallAware,7.4760,30383,24,9339,1,1
7,256,Maze,0,7007,0,Manhattan,1,BFS,None,4.7117,32119,17,7133,1,1
7,256,Maze,0,7007,0,Manhattan,1,Dijkstra,None,7.1771,32118,16,7133,1,1
7,256,Maze,0,7007,0,Manhattan,1,Greedy,Manhattan,5.6160,28947,35,7133,1,1
7,256,Maze,0,7007,0,Manhattan,1,A*,WallAware,7.3263,31902,19,7133,1,1
7,256,Maze,0,7007,0,Manhattan,1,BiA*,WallAware,7.1470,22002,21,7133,1,1
8,256,Maze,0,8008,0,Manhattan,1,BFS,None,4.8619,32257,13,12520,1,1
8,256,Maze,0,8008,0,Manhattan,1,Dijkstra,None,6.8565,32257,14,12520,1,1
8,256,Maze,0,8008,0,Manhattan,1,Greedy,Manhattan,5.9186,30420,20,12520,1,1
8,256,Maze,0,8008,0,Manhattan,1,A*,WallAware,7.2618,32257,16,12520,1,1
8,256,Maze,0,8008,0,Manhattan,1,BiA*,WallAware,12.5980,31883,25,12520,1,1
9,256,Maze,0,9009,0,Manhattan,1,BFS,None,5.9265,32233,15,9527,1,1
9,256,Maze,0,9009,0,Manhattan,1,Dijkstra,None,8.2627,32233,14,9527,1,1
9,256,Maze,0,9009,0,Manhattan,1,Greedy,Manhattan,6.3855,24106,38,9527,1,1
9,256,Maze,0,9009,0,Manhattan,1,A*,WallAware,8.5521,31794,20,9527,1,1
9,256,Maze,0,9009,0,Manhattan,1,BiA*,WallAware,8.4916,30674,25,9527,1,1
