trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
11,64,Random,0.2,11001,0,Chebyshev,0,BFS,None,0.4307,3248,62,127,1,1
11,64,Random,0.2,11001,0,Chebyshev,0,Dijkstra,None,0.7377,3248,67,127,1,1
11,64,Random,0.2,11001,0,Chebyshev,0,Greedy,Chebyshev,0.0593,154,114,129,1,0
11,64,Random,0.2,11001,0,Chebyshev,0,A*,Chebyshev,1.4652,3063,95,127,1,1
11,64,Random,0.2,11001,0,Chebyshev,0,BiA*,Chebyshev,0.6546,1466,113,127,1,1
12,64,Random,0.2,12002,0,Chebyshev,0,BFS,None,0.5360,3279,64,127,1,1
12,64,Random,0.2,12002,0,Chebyshev,0,Dijkstra,None,0.7399,3279,68,127,1,1
12,64,Random,0.2,12002,0,Chebyshev,0,Greedy,Chebyshev,0.0856,150,111,131,1,0
12,64,Random,0.2,12002,0,Chebyshev,0,A*,Chebyshev,0.8488,2951,105,127,1,1
12,64,Random,0.2,12002,0,Chebyshev,0,BiA*,Chebyshev,0.8938,1545,106,127,1,1
13,64,Random,0.2,13003,0,Chebyshev,0,BFS,None,0.6514,3299,60,127,1,1
13,64,Random,0.2,13003,0,Chebyshev,0,Dijkstra,None,0.7960,3299,66,127,1,1
13,64,Random,0.2,13003,0,Chebyshev,0,Greedy,Chebyshev,0.0715,152,122,133,1,0
13,64,Random,0.2,13003,0,Chebyshev,0,A*,Chebyshev,0.9360,3060,93,127,1,1
13,64,Random,0.2,13003,0,Chebyshev,0,BiA*,Chebyshev,0.8570,1553,100,127,1,1
14,64,Random,0.2,14004,0,Chebyshev,0,BFS,None,0.6158,3268,61,127,1,1
14,64,Random,0.2,14004,0,Chebyshev,0,Dijkstra,None,0.7937,3268,72,127,1,1
14,64,Random,0.2,14004,0,Chebyshev,0,Greedy,Chebyshev,0.0810,148,117,127,1,1
14,64,Random,0.2,14004,0,Chebyshev,0,A*,Chebyshev,0.8755,3048,101,127,1,1
14,64,Random,0.2,14004,0,Chebyshev,0,BiA*,Chebyshev,0.4351,1604,94,127,1,1
15,64,Random,0.2,15005,0,Chebyshev,0,BFS,None,0.4969,3220,62,127,1,1
15,64,Random,0.2,15005,0,Chebyshev,0,Dijkstra,None,0.6491,3220,69,127,1,1
15,64,Random,0.2,15005,0,Chebyshev,0,Greedy,Chebyshev,0.0747,177,107,129,1,0
15,64,Random,0.2,15005,0,Chebyshev,0,A*,Chebyshev,0.9696,2796,103,127,1,1
15,64,Random,0.2,15005,0,Chebyshev,0,BiA*,Chebyshev,0.3685,1385,94,127,1,1
16,64,Random,0.2,16006,0,Chebyshev,0,BFS,None,0.4962,3286,66,127,1,1
16,64,Random,0.2,16006,0,Chebyshev,0,Dijkstra,None,0.7760,3286,69,127,1,1
16,64,Random,0.2,16006,0,Chebyshev,0,Greedy,Chebyshev,0.0642,156,130,129,1,0
16,64,Random,0.2,16006,0,Chebyshev,0,A*,Chebyshev,0.9920,3006,99,127,1,1
16,64,Random,0.2,16006,0,Chebyshev,0,BiA*,Chebyshev,0.4254,1459,114,127,1,1
17,64,Random,0.2,17007,0,Chebyshev,0,BFS,None,0.4476,3247,62,127,1,1
17,64,Random,0.2,17007,0,Chebyshev,0,Dijkstra,None,0.7271,3247,64,127,1,1
17,64,Random,0.2,17007,0,Chebyshev,0,Greedy,Chebyshev,0.0574,153,125,127,1,1
17,64,Random,0.2,17007,0,Chebyshev,0,A*,Chebyshev,0.9371,3099,98,127,1,1
17,64,Random,0.2,17007,0,Chebyshev,0,BiA*,Chebyshev,0.5013,1543,88,127,1,1
18,64,Random,0.2,18008,0,Chebyshev,0,BFS,None,0.5019,3296,64,127,1,1
18,64,Random,0.2,18008,0,Chebyshev,0,Dijkstra,None,0.6491,3296,70,127,1,1
18,64,Random,0.2,18008,0,Chebyshev,0,Greedy,Chebyshev,0.0550,152,107,131,1,0
18,64,Random,0.2,18008,0,Chebyshev,0,A*,Chebyshev,0.6665,3048,96,127,1,1
18,64,Random,0.2,18008,0,Chebyshev,0,BiA*,Chebyshev,0.4586,1523,109,127,1,1
19,64,Random,0.2,19009,0,Chebyshev,0,BFS,None,0.5330,3251,60,127,1,1
19,64,Random,0.2,19009,0,Chebyshev,0,Dijkstra,None,0.6637,3251,64,127,1,1
19,64,Random,0.2,19009,0,Chebyshev,0,Greedy,Chebyshev,0.0553,141,116,129,1,0
19,64,Random,0.2,19009,0,Chebyshev,0,A*,Chebyshev,0.8286,3110,101,127,1,1
19,64,Random,0.2,19009,0,Chebyshev,0,BiA*,Chebyshev,0.4301,1637,104,127,1,1
20,64,Random,0.2,20000,0,Euclidean,0,BFS,None,0.4756,3248,65,127,1,1
20,64,Random,0.2,20000,0,Euclidean,0,Dijkstra,None,0.6240,3248,75,127,1,1
20,64,Random,0.2,20000,0,Euclidean,0,Greedy,Euclidean,0.1325,133,112,127,1,1
20,64,Random,0.2,20000,0,Euclidean,0,A*,Euclidean,0.7277,2933,106,127,1,1
20,64,Random,0.2,20000,0,Euclidean,0,BiA*,Euclidean,0.5210,1899,125,127,1,1
21,64,Random,0.2,21001,0,Euclidean,0,BFS,None,0.5045,3261,65,127,1,1
21,64,Random,0.2,21001,0,Euclidean,0,Dijkstra,None,0.6056,3261,73,127,1,1
21,64,Random,0.2,21001,0,Euclidean,0,Greedy,Euclidean,0.0518,137,107,127,1,1
21,64,Random,0.2,21001,0,Euclidean,0,A*,Euclidean,0.7260,2977,106,127,1,1
21,64,Random,0.2,21001,0,Euclidean,0,BiA*,Euclidean,0.5883,1980,134,127,1,1
22,64,Random,0.2,22002,0,Euclidean,0,BFS,None,0.5006,3267,70,127,1,1
22,64,Random,0.2,22002,0,Euclidean,0,Dijkstra,None,0.7590,3267,72,127,1,1
22,64,Random,0.2,22002,0,Euclidean,0,Greedy,Euclidean,0.0588,157,125,135,1,0
22,64,Random,0.2,22002,0,Euclidean,0,A*,Euclidean,0.7662,3085,110,127,1,1
22,64,Random,0.2,22002,0,Euclidean,0,BiA*,Euclidean,0.5566,2062,124,127,1,1
23,64,Random,0.2,23003,0,Euclidean,0,BFS,None,0.5129,3226,65,127,1,1
23,64,Random,0.2,23003,0,Euclidean,0,Dijkstra,None,0.6378,3226,71,127,1,1
23,64,Random,0.2,23003,0,Euclidean,0,Greedy,Euclidean,0.0517,143,112,135,1,0
23,64,Random,0.2,23003,0,Euclidean,0,A*,Euclidean,0.8216,2899,91,127,1,1
23,64,Random,0.2,23003,0,Euclidean,0,BiA*,Euclidean,0.5665,2022,125,127,1,1
24,64,Random,0.2,24004,0,Euclidean,0,BFS,None,0.4214,3272,61,127,1,1
24,64,Random,0.2,24004,0,Euclidean,0,Dijkstra,None,0.6520,3272,69,127,1,1
24,64,Random,0.2,24004,0,Euclidean,0,Greedy,Euclidean,0.0529,139,115,131,1,0
24,64,Random,0.2,24004,0,Euclidean,0,A*,Euclidean,0.7098,2976,98,127,1,1
24,64,Random,0.2,24004,0,Euclidean,0,BiA*,Euclidean,0.5042,2009,116,127,1,1
25,64,Random,0.2,25005,0,Euclidean,0,BFS,None,0.4161,3225,65,127,1,1
25,64,Random,0.2,25005,0,Euclidean,0,Dijkstra,None,0.6492,3225,70,127,1,1
25,64,Random,0.2,25005,0,Euclidean,0,Greedy,Euclidean,0.0477,141,113,129,1,0
25,64,Random,0.2,25005,0,Euclidean,0,A*,Euclidean,0.7049,3014,100,127,1,1
25,64,Random,0.2,25005,0,Euclidean,0,BiA*,Euclidean,0.4878,1942,123,127,1,1
26,64,Random,0.2,26006,0,Euclidean,0,BFS,None,0.5667,3278,59,127,1,1
26,64,Random,0.2,26006,0,Euclidean,0,Dijkstra,None,0.9823,3278,64,127,1,1
26,64,Random,0.2,26006,0,Euclidean,0,Greedy,Euclidean,0.0506,132,122,127,1,1
26,64,Random,0.2,26006,0,Euclidean,0,A*,Euclidean,1.0001,3027,111,127,1,1
26,64,Random,0.2,26006,0,Euclidean,0,BiA*,Euclidean,0.6502,2028,132,127,1,1
27,64,Random,0.2,27007,0,Euclidean,0,BFS,None,0.4318,3235,58,127,1,1
27,64,Random,0.2,27007,0,Euclidean,0,Dijkstra,None,0.7077,3235,66,127,1,1
27,64,Random,0.2,27007,0,Euclidean,0,Greedy,Euclidean,0.0489,131,113,127,1,1
27,64,Random,0.2,27007,0,Euclidean,0,A*,Euclidean,0.7388,2985,106,127,1,1
27,64,Random,0.2,27007,0,Euclidean,0,BiA*,Euclidean,0.5345,2033,129,127,1,1
28,64,Random,0.2,28008,0,Euclidean,0,BFS,None,0.4979,3263,65,127,1,1
28,64,Random,0.2,28008,0,Euclidean,0,Dijkstra,None,0.6828,3263,71,127,1,1
28,64,Random,0.2,28008,0,Euclidean,0,Greedy,Euclidean,0.0543,130,113,127,1,1
28,64,Random,0.2,28008,0,Euclidean,0,A*,Euclidean,0.8460,2893,109,127,1,1
28,64,Random,0.2,28008,0,Euclidean,0,BiA*,Euclidean,0.5706,1904,123,127,1,1
29,64,Random,0.2,29009,0,Euclidean,0,BFS,None,0.4719,3254,64,127,1,1
29,64,Random,0.2,29009,0,Euclidean,0,Dijkstra,None,0.6992,3254,71,127,1,1
29,64,Random,0.2,29009,0,Euclidean,0,Greedy,Euclidean,0.0650,141,125,133,1,0
29,64,Random,0.2,29009,0,Euclidean,0,A*,Euclidean,0.8312,3002,111,127,1,1
29,64,Random,0.2,29009,0,Euclidean,0,BiA*,Euclidean,0.6170,1987,138,127,1,1
30,64,Random,0.2,30000,0,WallAware,0,BFS,None,0.5350,3193,58,127,1,1
30,64,Random,0.2,30000,0,WallAware,0,Dijkstra,None,0.7098,3193,66,127,1,1
30,64,Random,0.2,30000,0,WallAware,0,Greedy,WallAware,0.3761,143,147,131,1,0
30,64,Random,0.2,30000,0,WallAware,0,A*,WallAware,0.6544,586,209,127,1,1
30,64,Random,0.2,30000,0,WallAware,0,BiA*,WallAware,0.2612,570,219,127,1,1
